county,precinct,office,district,party,candidate,votes,trump,clinton,castle,johnson,la riva,de la fuente,moorehead,stein,kennedy,write-in
Camden,Camden City W3 Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 D1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 D2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 D3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 D4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 D5,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 D6,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Camden City W4 D7,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 D8,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 D9,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 D10,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City Ward 4 Mail-In,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City Ward 4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Camden City W4 Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,City of Camden,President,,American Delta,Rocky Roque De La Fuente,5,,,,,,,,,,
Camden,Cherry Hill Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 5,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 6,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 7,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 8,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 9,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 10,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 11,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Cherry Hill Dist 12,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Cherry Hill Dist 13,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 14,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 15,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 16,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Cherry Hill Dist 17,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 18,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 19,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 20,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 21,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 22,President,,American Delta,Rocky Roque De La Fuente,2,,,,,,,,,,
Camden,Cherry Hill Dist 23,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Cherry Hill Dist 24,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 25,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 26,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Cherry Hill Dist 27,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Cherry Hill Dist 28,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 29,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 30,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 31,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 32,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 33,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 34,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 35,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 36,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Cherry Hill Dist 37,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 38,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 39,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 40,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 41,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 42,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Cherry Hill Dist 43,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 44,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Cherry Hill Dist 45,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 46,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 47,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Dist 48,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,5,,,,,,,,,,
Camden,Cherry Hill Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Emergency Ballots,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Cherry Hill Twp,President,,American Delta,Rocky Roque De La Fuente,16,,,,,,,,,,
Camden,Chesilhurst Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Chesilhurst Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Chesilhurst Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Chesilhurst Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Chesilhurst Borough,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Clementon Dist 1,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Clementon Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Clementon Dist 3,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Clementon Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Clementon Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Clementon Emergency Ballots,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Clementon Borough,President,,American Delta,Rocky Roque De La Fuente,2,,,,,,,,,,
Camden,Collingswood Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Dist 2,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Collingswood Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Dist 4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Dist 5,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Dist 6,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Dist 7,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Collingswood Dist 8,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Dist 9,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Dist 10,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Dist 11,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Dist 12,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Collingswood Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Collingswood Borough,President,,American Delta,Rocky Roque De La Fuente,3,,,,,,,,,,
Camden,Gibbsboro Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gibbsboro Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gibbsboro Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gibbsboro Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gibbsboro Emergency Ballots,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gibbsboro Borough,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City W1 D1,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester City W1 D2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City W1 D3,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester City Ward 1 Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City Ward 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City W1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City W2 D1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City W2 D2,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester City W2 D3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City Ward 2 Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City Ward 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City W2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City W3 D1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City W3 D2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City Ward 3 Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City Ward 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester City W3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,City of Gloucester,President,,American Delta,Rocky Roque De La Fuente,3,,,,,,,,,,
Camden,Gloucester Twp Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 5,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 6,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 7,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester Twp Dist 8,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 9,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester Twp Dist 10,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 11,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 12,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 13,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 14,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 15,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 16,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 17,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 18,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 19,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester Twp Dist 20,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 21,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 22,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 23,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester Twp Dist 24,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 25,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 26,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 27,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester Twp Dist 28,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 29,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 30,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 31,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 32,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 33,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester Twp Dist 34,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 35,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester Twp Dist 36,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Gloucester Twp Dist 37,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 38,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 39,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Dist 40,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Gloucester Twp,President,,American Delta,Rocky Roque De La Fuente,8,,,,,,,,,,
Camden,Haddon Heights Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Heights Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Heights Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Heights Dist 4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Heights Dist 5,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Heights Dist 6,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Heights Dist 7,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Heights Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Haddon Heights Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Heights Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Heights Borough,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Haddon Twp Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 5,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 6,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 7,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 8,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Haddon Twp Dist 9,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 10,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 11,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 12,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 13,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 14,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Dist 15,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddon Twp,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Haddonfield Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Dist 4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Dist 5,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Dist 6,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Dist 7,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Dist 8,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Dist 9,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Dist 10,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Haddonfield Borough,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Hi-Nella Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Hi-Nella Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Hi-Nella Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Hi-Nella Emergency Ballots,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Hi-Nella Borough,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Laurel Springs Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Laurel Springs Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Laurel Springs Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Laurel Springs Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Laurel Springs Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Laurel Springs Borough,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lawnside Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lawnside Dist 2,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Lawnside Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lawnside Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lawnside Emergency Ballots,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lawnside Borough,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Lindenwold Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Dist 4,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Lindenwold Dist 5,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Dist 6,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Lindenwold Dist 7,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Dist 8,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Dist 9,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Lindenwold Borough,President,,American Delta,Rocky Roque De La Fuente,2,,,,,,,,,,
Camden,Magnolia Dist 1,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Magnolia Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Magnolia Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Magnolia Dist 4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Magnolia Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Magnolia Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Magnolia Emergency Ballots,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Magnolia Borough,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Merchantville Dist 1,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Merchantville Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Merchantville Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Merchantville Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Merchantville Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Merchantville Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Merchantville Borough,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Mt. Ephraim Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Mt. Ephraim Dist 2,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Mt. Ephraim Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Mt. Ephraim Dist 4,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Mt. Ephraim Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Mt. Ephraim Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Mt. Ephraim Emergency,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Mt. Ephraim Borough,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Oaklyn Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Oaklyn Dist 2,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Oaklyn Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Oaklyn Dist 4,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Oaklyn Mail-In Ballot,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Oaklyn Provisional,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Oaklyn Emergency Ballots,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Oaklyn Borough,President,,American Delta,Rocky Roque De La Fuente,2,,,,,,,,,,
Camden,Pennsauken Dist 1,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Pennsauken Dist 2,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Pennsauken Dist 3,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Pennsauken Dist 4,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Pennsauken Dist 5,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Pennsauken Dist 6,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Pennsauken Dist 7,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Pennsauken Dist 8,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Pennsauken Dist 9,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
Camden,Pennsauken Dist 10,President,,American Delta,Rocky Roque De La Fuente,1,,,,,,,,,,
Camden,Pennsauken Dist 11,President,,American Delta,Rocky Roque De La Fuente,,,,,,,,,,,
